SMT测试场景,SMT进程数,share32-IPC,share32-命中率(%),share32-平均延迟,share32-MSHR冲突,share32-重分配次数,share32-Bank利用率,share32-总周期,smtc128-IPC,smtc128-命中率(%),smtc128-平均延迟,smtc128-MSHR冲突,smtc128-重分配次数,smtc128-Bank利用率,smtc128-总周期,smtc64-IPC,smtc64-命中率(%),smtc64-平均延迟,smtc64-MSHR冲突,smtc64-重分配次数,smtc64-Bank利用率,smtc64-总周期,ssmtc64-100-5%-IPC,ssmtc64-100-5%-命中率(%),ssmtc64-100-5%-平均延迟,ssmtc64-100-5%-MSHR冲突,ssmtc64-100-5%-重分配次数,ssmtc64-100-5%-Bank利用率,ssmtc64-100-5%-总周期,ssmtc64-200-5%-IPC,ssmtc64-200-5%-命中率(%),ssmtc64-200-5%-平均延迟,ssmtc64-200-5%-MSHR冲突,ssmtc64-200-5%-重分配次数,ssmtc64-200-5%-Bank利用率,ssmtc64-200-5%-总周期,ssmtc64-500-5%-IPC,ssmtc64-500-5%-命中率(%),ssmtc64-500-5%-平均延迟,ssmtc64-500-5%-MSHR冲突,ssmtc64-500-5%-重分配次数,ssmtc64-500-5%-Bank利用率,ssmtc64-500-5%-总周期,smtc128 vs share32-IPC变化(%),smtc128 vs share32-命中率变化(%),smtc128 vs share32-延迟变化(%),smtc64 vs share32-IPC变化(%),smtc64 vs share32-命中率变化(%),smtc64 vs share32-延迟变化(%),ssmtc64-100-5% vs share32-IPC变化(%),ssmtc64-100-5% vs share32-命中率变化(%),ssmtc64-100-5% vs share32-延迟变化(%),ssmtc64-200-5% vs share32-IPC变化(%),ssmtc64-200-5% vs share32-命中率变化(%),ssmtc64-200-5% vs share32-延迟变化(%),ssmtc64-500-5% vs share32-IPC变化(%),ssmtc64-500-5% vs share32-命中率变化(%),ssmtc64-500-5% vs share32-延迟变化(%)
cacherand_2_gzip-program_2.txt,2,3.3188,72.1559,2.5889,57199,0,0.000000,602632344,3.4476,82.0835,2.1149,29163,0,0.000000,580112389,3.3376,65.0669,2.6277,60495,0,0.000000,599241019,3.4476,82.0835,2.1149,29163,0,0.000000,580112378,3.4476,82.0835,2.1149,29163,0,0.000000,580112378,3.4476,82.0835,2.1149,29163,0,0.000000,580112378,+3.8820%,+9.9276%,-18.3081%,+0.5659%,-7.0890%,+1.4981%,+3.8820%,+9.9276%,-18.3081%,+3.8820%,+9.9276%,-18.3081%,+3.8820%,+9.9276%,-18.3081%
cacherand_2_gzip-source_2.txt,2,3.3848,72.9026,2.6779,57719,0,0.000000,590881914,3.5172,82.1465,2.2174,31093,0,0.000000,568637515,3.4009,65.1460,2.7346,61861,0,0.000000,588073042,3.5172,82.1465,2.2174,31093,0,0.000000,568637014,3.5172,82.1465,2.2174,31093,0,0.000000,568637014,3.5172,82.1465,2.2174,31093,0,0.000000,568637014,+3.9119%,+9.2439%,-17.1979%,+0.4776%,-7.7566%,+2.1184%,+3.9120%,+9.2439%,-17.1980%,+3.9120%,+9.2439%,-17.1980%,+3.9120%,+9.2439%,-17.1980%
cacherand_2_recurseq_2.txt,2,3.0053,69.9010,1.4122,0,0,0.000000,665494046,3.2352,83.0344,0.9097,0,0,0.000000,618193130,3.1138,65.9330,1.3046,0,0,0.000000,642311976,3.2352,83.0344,0.9097,0,0,0.000000,618193130,3.2352,83.0344,0.9097,0,0,0.000000,618193130,3.2352,83.0344,0.9097,0,0,0.000000,618193130,+7.6515%,+13.1335%,-35.5825%,+3.6092%,-3.9680%,-7.6227%,+7.6515%,+13.1335%,-35.5825%,+7.6515%,+13.1335%,-35.5825%,+7.6515%,+13.1335%,-35.5825%
crafty_2_cacherand_2.txt,2,3.4104,66.9572,2.1178,853,0,0.000000,586433790,3.6877,82.7334,1.3235,47,0,0.000000,542344075,3.4338,64.6982,2.0426,218,0,0.000000,582451881,3.6873,82.7334,1.3239,44,0,0.000000,542395573,3.6873,82.7334,1.3239,44,0,0.000000,542395573,3.6873,82.7334,1.3239,44,0,0.000000,542395573,+8.1295%,+15.7762%,-37.5045%,+0.6836%,-2.2590%,-3.5499%,+8.1192%,+15.7762%,-37.4856%,+8.1192%,+15.7762%,-37.4856%,+8.1192%,+15.7762%,-37.4856%
crafty_2_gzip-source_2.txt,2,3.0657,97.4597,1.9145,72820,0,0.000000,652371207,3.1403,98.2685,1.7595,21018,0,0.000000,636873174,3.0557,96.5356,1.9829,93857,0,0.000000,654506555,3.1404,98.2688,1.7596,21060,0,0.000000,636858677,3.1404,98.2688,1.7596,21060,0,0.000000,636858677,3.1404,98.2688,1.7596,21060,0,0.000000,636858677,+2.4335%,+0.8088%,-8.0960%,-0.3263%,-0.9241%,+3.5742%,+2.4358%,+0.8091%,-8.0914%,+2.4358%,+0.8091%,-8.0914%,+2.4358%,+0.8091%,-8.0914%
crafty_2_recurseq_2.txt,2,2.9715,97.7949,1.1352,1414,0,0.000000,673056167,3.1047,99.1324,0.9259,149,0,0.000000,644178751,2.9779,97.2509,1.1637,477,0,0.000000,671610887,3.1047,99.1324,0.9259,149,0,0.000000,644178460,3.1047,99.1324,0.9259,149,0,0.000000,644178460,3.1047,99.1324,0.9259,149,0,0.000000,644178460,+4.4828%,+1.3375%,-18.4346%,+0.2152%,-0.5440%,+2.5151%,+4.4829%,+1.3376%,-18.4304%,+4.4829%,+1.3376%,-18.4304%,+4.4829%,+1.3376%,-18.4304%
gcc-200_2_crafty_2.txt,2,2.1240,96.5052,2.4169,1036565,0,0.000000,941634376,2.2226,97.7370,2.2539,928420,0,0.000000,899864746,2.1230,95.8864,2.4542,920286,0,0.000000,942082668,2.2222,97.7368,2.2535,925819,0,0.000000,900007320,2.2222,97.7368,2.2535,925819,0,0.000000,900007320,2.2222,97.7368,2.2535,925819,0,0.000000,900007320,+4.6417%,+1.2318%,-6.7476%,-0.0476%,-0.6189%,+1.5438%,+4.6252%,+1.2316%,-6.7628%,+4.6252%,+1.2316%,-6.7628%,+4.6252%,+1.2316%,-6.7628%
gcc-200_2_gzip-program_2.txt,2,2.8566,97.3887,1.9269,440178,0,0.000000,700140991,2.9241,97.9581,1.7946,315264,0,0.000000,683980581,2.8630,97.1455,1.9074,463562,0,0.000000,698558676,2.9241,97.9579,1.7940,314333,0,0.000000,683968425,2.9241,97.9579,1.7940,314333,0,0.000000,683968425,2.9241,97.9579,1.7940,314333,0,0.000000,683968425,+2.3627%,+0.5693%,-6.8699%,+0.2265%,-0.2432%,-1.0121%,+2.3645%,+0.5692%,-6.8966%,+2.3645%,+0.5692%,-6.8966%,+2.3645%,+0.5692%,-6.8966%
gcc-200_2_gzip-source_2.txt,2,2.9379,97.4561,1.9894,473897,0,0.000000,680764342,3.0040,97.9998,1.8677,319870,0,0.000000,665773446,2.9449,97.1805,1.9660,494079,0,0.000000,679130962,3.0043,97.9997,1.8673,317350,0,0.000000,665717437,3.0043,97.9997,1.8673,317350,0,0.000000,665717437,3.0043,97.9997,1.8673,317350,0,0.000000,665717437,+2.2517%,+0.5437%,-6.1178%,+0.2405%,-0.2756%,-1.1796%,+2.2603%,+0.5437%,-6.1362%,+2.2603%,+0.5437%,-6.1362%,+2.2603%,+0.5437%,-6.1362%
gcc-200_2_randacc_2.txt,2,3.4687,90.1859,1.6089,92075,0,0.000000,576587044,3.6980,98.8320,1.1060,282172,0,0.000000,540826101,3.4945,87.7211,1.5992,96361,0,0.000000,572328749,3.6982,98.8320,1.1060,281436,0,0.000000,540802268,3.6982,98.8320,1.1060,281436,0,0.000000,540802268,3.6982,98.8320,1.1060,281436,0,0.000000,540802268,+6.6123%,+8.6461%,-31.2565%,+0.7440%,-2.4648%,-0.5995%,+6.6170%,+8.6461%,-31.2580%,+6.6170%,+8.6461%,-31.2580%,+6.6170%,+8.6461%,-31.2580%
